Dendarus foraminosus	Arthropoda	Metazoa	GreeceHSp	GENOSCOPE	0.42					
Dailognatha quadricollis	Arthropoda	Metazoa	GreeceHSp	GENOSCOPE	0.28					
Carabus banoni	Arthropoda	Metazoa	GreeceHSp	GENOSCOPE	0.27					
Scolopendra cretica	Arthropoda	Metazoa	GreeceHSp	GENOSCOPE	o.29					
Zelkova abelicea	Ulmaceae	Viridiplantae	GreeceHSp	GENOSCOPE	1.32					
Acomys cahirinus minous	Chordata	Metazoa	GreeceHSp	GENOSCOPE	2.58					
Rupicapra rupicapra	Chordata	Metazoa	SloveniaHSp	CNAG	3.20					
Apodemus agrarius	Chordata	Metazoa	SloveniaHSp	CNAG	3.10					
Umbra krameri	Chordata	Metazoa	SloveniaHSp	CNAG	2.40					
Astagobius angustatus	Arthropoda	Metazoa	SloveniaHSp	SCILIFE	0.80					
Cladocora caespitosa	Cnidaria	Metazoa	SloveniaHSp	SCILIFE	0.80					
Ophryotrocha puerilis	 Annelida	Metazoa	SpainHSp	SCILIFE	0.36					
Pinna rudis	 Mollusca	Metazoa	SpainHSp	SCILIFE	1.08					
Siphonaria pectinata	 Mollusca	Metazoa	SpainHSp	SCILIFE	2.00					
Tetrastemma melanocephalum	 Nemertea	Metazoa	SpainHSp	SCILIFE	1.37					
Obama nungara	 Platyhelminthes	Metazoa	SpainHSp	SCILIFE	1.60					
Austropotamobius torrentium	Arthropoda	Metazoa	SloveniaHSp	SCILIFE	4.60					
Coronilla viminalis	Fabaceae	Viridiplantae	SpainHSp	SCILIFE	0.39					
Lepus castroviejoi	Chordata	Metazoa	WP11	ITALIA	3.00					
Culex perexiguus	Arthropoda	Metazoa	WP11	SANGER	0.70					
Culex laticinctus	Arthropoda	Metazoa	WP11	SANGER	0.70					
Culex theileri	Arthropoda	Metazoa	WP11	SANGER	0.70					
Culex modestus	Arthropoda	Metazoa	WP11	SANGER	0.70					
Culex pipiens pipiens	Arthropoda	Metazoa	WP11	SANGER	0.70					
Culex pipiens molestus	Arthropoda	Metazoa	WP11	SANGER	0.70					
